iter	RMSE
0	773881.8575
1	756136.544
2	739974.8142
3	724030.9406
4	709761.3267
5	693728.26
6	680123.597
7	666621.6442
8	654530.0995
9	642264.0438
10	629154.057
11	616730.9401
12	606432.9251
13	595345.9565
14	584426.9785
15	574698.2464
16	564836.3837
17	555779.6386
18	547047.4853
19	538257.8171
20	529562.3005
21	521378.526
22	513705.2097
23	506589.7429
24	498786.7635
25	491850.9015
26	484944.1714
27	478259.8243
28	472122.0866
29	465595.2755
30	459465.4193
31	453291.4907
32	448190.9944
33	442724.038
34	437233.7806
35	433392.1387
36	428104.1523
37	423227.8904
38	418578.0194
39	414230.2685
40	410584.9435
41	407142.579
42	402733.6967
43	399065.1064
44	395363.9249
45	391005.3083
46	387175.802
47	384401.4853
48	380385.9316
49	376912.9347
50	373705.46
51	369950.7838
52	366706.4476
53	363759.143
54	360572.2148
55	357694.5403
56	354894.6136
57	352462.6338
58	350491.0415
59	347910.275
60	345206.4719
61	342486.6893
62	340209.0912
63	336937.643
64	335024.0963
65	333076.0514
66	330736.2562
67	328456.1104
68	326539.1471
69	324547.4579
70	321700.3889
71	320102.9058
72	318306.9288
73	316348.5926
74	314004.4112
75	311957.3149
76	310250.3415
77	308586.9656
78	307099.8857
79	305420.2667
80	304165.5469
81	302991.7765
82	301141.1254
83	300162.308
84	298436.867
85	296877.7871
86	295519.563
87	293786.9139
88	292593.5013
89	291299.2374
90	290158.0992
91	289200.7496
92	288339.1655
93	287682.7287
94	286928.2122
95	285363.2707
96	284176.3744
97	283102.2829
98	282224.0855
99	280952.5561
100	280137.8564
101	278911.4902
102	277968.9589
103	277449.0391
104	276735.3254
105	275617.4264
106	274175.0633
107	272805.2993
108	271717.3089
109	271144.1338
110	270041.6453
111	268522.7261
112	267750.7089
113	266977.3603
114	266217.6965
115	265172.4741
116	264243.2902
117	263790.3057
118	263511.0079
119	262709.9255
120	262178.6178
121	261131.4897
122	260446.8082
123	260105.0894
124	259696.3435
125	259226.1457
126	258844.3209
127	257749.3108
128	257172.3294
129	256605.4798
130	255839.8867
131	255472.3613
132	254648.3625
133	254111.7396
134	253886.0092
135	253364.939
136	252334.7345
137	252013.2652
138	251512.1966
139	250671.2339
140	250155.7077
141	249351.5856
142	248771.5604
143	247886.3013
144	247071.7999
145	246491.2334
146	246012.0182
147	245655.1629
148	245068.8294
149	244235.0436
150	243672.7051
151	243381.2389
152	242738.9265
153	242265.9636
154	241334.0488
155	241246.2013
156	240435.6618
157	239806.0806
158	239322.9281
159	238222.9124
160	237651.4333
161	236831.7352
162	236263.6732
163	235759.6189
164	235484.9107
165	234847.8158
166	234707.3586
167	234148.5025
168	233613.0431
169	233148.5953
170	232618.0911
171	232112.626
172	231358.4992
173	230989.4749
174	230596.43
175	229978.3371
176	229610.0175
177	228830.0838
178	228494.2091
179	228172.7755
180	227532.1139
181	226768.338
182	226163.8152
183	225748.01
184	225184.9777
185	224427.2643
186	223801.6945
187	223397.488
188	222739.986
189	222259.3183
190	221906.7294
191	221427.4652
192	220955.0693
193	220407.0762
194	219947.4714
195	219297.7945
196	218791.6832
197	218436.202
198	217447.3352
199	217045.3456
200	216518.1134
201	216125.1122
202	215332.4218
203	214959.8043
204	214605.68
205	214198.3033
206	213573.792
207	213156.2936
208	212655.4283
209	212159.8713
210	211651.0422
211	211133.3748
212	210521.3777
213	210083.8333
214	209692.4371
215	209348.7138
216	208838.3199
217	208122.873
218	207645.4367
219	206908.4898
220	206459.4515
221	206140.6873
