iter	Passed	Remaining
0	2	2329
1	4	2078
2	5	1964
3	7	1886
4	9	1853
5	10	1812
6	12	1789
7	14	1799
8	16	1828
9	18	1839
10	20	1798
11	21	1781
12	23	1769
13	25	1760
14	26	1751
15	28	1747
16	30	1752
17	32	1776
18	34	1769
19	35	1763
20	37	1730
21	38	1725
22	40	1720
23	42	1723
24	44	1727
25	46	1735
26	48	1745
27	50	1739
28	51	1732
29	53	1725
30	55	1719
31	56	1715
32	58	1717
33	60	1724
34	62	1727
35	64	1725
36	66	1721
37	67	1716
38	69	1711
39	71	1705
40	72	1704
41	74	1705
42	77	1717
43	79	1718
44	80	1716
45	82	1710
46	84	1705
47	85	1700
48	87	1698
49	89	1699
50	91	1708
51	93	1709
52	95	1706
53	97	1704
54	99	1702
55	100	1700
56	102	1699
57	104	1704
58	107	1710
59	109	1709
60	110	1706
61	112	1705
62	114	1705
63	116	1702
64	118	1704
65	120	1705
66	122	1704
67	124	1701
68	125	1696
69	127	1692
70	129	1688
71	130	1684
72	132	1683
73	134	1689
74	136	1689
75	138	1683
76	139	1676
77	141	1668
78	142	1661
79	143	1654
80	145	1647
81	146	1640
82	148	1636
83	149	1630
84	151	1625
85	152	1620
86	153	1615
87	155	1610
88	156	1605
89	158	1601
90	159	1596
91	161	1593
92	163	1589
93	164	1586
94	166	1581
95	167	1576
96	168	1570
97	170	1566
98	171	1563
99	173	1560
100	174	1557
101	176	1557
102	178	1554
103	179	1549
104	181	1544
105	182	1539
106	183	1535
107	185	1530
108	186	1525
109	188	1521
110	189	1517
111	191	1514
112	192	1513
113	194	1508
114	195	1504
115	196	1500
116	198	1495
117	199	1491
118	200	1486
119	202	1482
120	203	1478
121	205	1479
122	206	1475
123	208	1471
124	209	1467
125	211	1463
126	212	1459
127	213	1455
128	215	1452
129	216	1449
130	217	1445
131	219	1442
132	220	1438
133	222	1435
134	223	1431
135	224	1428
136	226	1424
137	227	1420
138	228	1417
139	230	1416
140	232	1415
141	234	1414
142	235	1412
143	237	1411
144	239	1410
145	240	1408
146	242	1407
147	244	1405
148	245	1404
149	247	1403
150	249	1402
151	250	1400
152	252	1398
153	254	1397
154	256	1395
155	257	1394
156	259	1394
157	261	1392
158	263	1391
159	264	1389
160	266	1389
161	268	1387
162	270	1386
163	271	1384
164	273	1383
165	275	1382
166	276	1380
167	278	1378
168	280	1377
169	281	1376
170	283	1374
171	285	1372
172	286	1371
173	288	1369
174	290	1368
175	291	1366
176	293	1365
177	295	1363
178	297	1363
179	299	1363
180	300	1361
181	302	1359
182	303	1357
183	305	1354
184	306	1351
185	308	1349
186	309	1347
187	312	1347
188	313	1345
189	315	1345
190	317	1343
191	318	1342
192	320	1339
193	321	1337
194	323	1334
195	324	1332
196	326	1331
197	328	1328
198	329	1326
199	330	1323
200	332	1321
201	333	1318
202	335	1315
203	336	1312
204	337	1309
205	339	1307
206	340	1305
207	341	1302
208	343	1299
209	344	1296
210	346	1294
211	347	1292
212	349	1289
213	350	1287
214	351	1285
215	353	1282
216	354	1280
217	356	1277
218	357	1275
219	358	1272
220	360	1269
221	361	1267
222	362	1264
223	364	1262
224	365	1259
225	367	1257
226	368	1254
227	369	1252
228	371	1249
229	372	1247
230	373	1244
231	375	1242
232	376	1240
233	378	1237
234	379	1235
235	380	1232
236	382	1230
237	383	1227
238	384	1225
239	386	1222
240	387	1220
241	388	1217
242	390	1215
243	391	1213
244	392	1211
245	394	1209
246	396	1208
247	398	1207
248	399	1206
249	401	1204
250	403	1203
251	404	1202
252	406	1201
253	408	1199
254	410	1198
255	411	1197
256	413	1196
257	415	1194
258	417	1193
259	418	1192
260	420	1190
261	422	1189
262	424	1188
263	425	1186
264	427	1185
265	429	1184
266	430	1182
267	432	1181
268	434	1180
269	436	1180
270	438	1179
271	440	1177
272	441	1176
273	443	1175
274	445	1174
275	447	1173
276	449	1172
277	450	1170
278	452	1169
279	454	1168
280	456	1166
281	457	1165
282	459	1163
283	461	1162
284	462	1160
285	464	1159
286	466	1159
287	468	1159
288	470	1158
289	472	1157
290	474	1155
291	476	1154
292	478	1153
293	479	1152
294	481	1151
295	483	1150
296	485	1149
297	487	1148
298	489	1146
299	490	1145
300	492	1143
301	494	1143
302	496	1141
303	498	1141
304	500	1140
305	502	1139
306	503	1137
307	505	1135
308	507	1134
309	508	1132
310	510	1131
311	512	1129
312	514	1128
313	516	1127
314	517	1126
315	519	1124
316	521	1123
317	522	1121
318	524	1120
319	526	1118
320	528	1117
321	530	1116
322	531	1114
323	533	1112
324	535	1111
325	536	1109
326	538	1108
327	540	1106
328	541	1105
329	543	1103
330	545	1101
331	546	1100
332	548	1098
333	550	1096
334	551	1095
335	553	1094
336	555	1092
337	557	1091
338	558	1089
339	560	1088
340	562	1086
341	563	1084
342	565	1083
343	567	1081
344	569	1080
345	570	1078
346	572	1077
347	574	1075
348	575	1073
349	577	1072
350	578	1070
351	580	1068
352	582	1067
353	584	1065
354	585	1064
355	587	1062
356	589	1061
357	590	1059
358	592	1058
359	594	1056
360	596	1055
361	598	1054
362	599	1052
363	601	1051
364	603	1049
365	604	1047
366	606	1046
367	608	1044
368	610	1043
369	611	1041
370	613	1040
371	615	1038
372	616	1036
373	618	1035
374	620	1033
375	622	1032
376	623	1030
377	625	1029
378	627	1027
379	629	1026
380	630	1024
381	632	1023
382	634	1022
383	636	1020
384	637	1018
385	639	1016
386	640	1014
387	642	1012
388	643	1010
389	644	1008
390	646	1006
391	647	1004
392	649	1002
393	650	1000
394	651	998
395	653	996
396	655	995
397	656	993
398	658	991
399	659	989
400	660	987
401	662	985
402	663	982
403	664	980
404	666	979
405	668	977
406	669	976
407	671	974
408	672	971
409	674	970
410	675	968
411	676	966
412	678	964
413	679	962
414	681	960
415	682	958
416	683	956
417	685	954
418	686	951
419	688	950
420	689	948
421	690	946
422	692	944
423	693	942
424	696	941
425	697	940
426	699	938
427	700	936
428	702	934
429	703	932
430	704	930
431	706	928
432	707	927
433	709	925
434	711	923
435	712	921
436	713	919
437	715	917
438	716	915
439	718	914
440	719	912
441	720	910
442	722	908
443	723	906
444	725	905
445	727	903
446	728	901
447	730	900
448	732	898
449	733	896
450	735	895
451	737	893
452	739	892
453	741	892
454	743	890
455	745	889
456	747	887
457	748	886
458	750	884
459	752	883
460	754	882
461	756	881
462	758	879
463	760	877
464	761	876
465	763	874
466	765	873
467	766	871
468	768	870
469	770	869
470	772	867
471	774	866
472	776	865
473	778	863
474	780	862
475	781	860
476	783	859
477	785	858
478	787	856
479	789	855
480	791	853
481	792	851
482	794	850
483	796	848
484	798	847
485	801	847
486	803	846
487	805	844
488	806	843
489	808	841
490	810	839
491	811	838
492	813	836
493	815	835
494	817	834
495	819	832
496	821	831
497	822	829
498	824	828
499	826	826
500	828	825
501	830	824
502	832	822
503	834	821
504	836	819
505	838	818
506	839	816
507	841	815
508	843	813
509	845	812
510	847	811
511	849	809
512	850	807
513	852	806
514	854	804
515	855	802
516	857	801
517	859	799
518	861	798
519	863	796
520	864	795
521	866	793
522	868	792
523	870	790
524	872	789
525	873	787
526	875	785
527	877	784
528	878	782
529	880	780
530	882	779
531	883	777
532	885	775
533	887	774
534	889	772
535	890	771
536	892	769
537	894	767
538	895	766
539	897	764
540	899	763
541	901	761
542	902	759
543	904	758
544	906	756
545	907	754
546	909	753
547	911	751
548	913	750
549	914	748
550	916	746
551	918	745
552	919	743
553	921	741
554	923	740
555	924	738
556	926	736
557	928	735
558	930	733
559	931	732
560	933	730
561	935	728
562	937	727
563	938	725
564	940	724
565	942	722
566	943	720
567	945	719
568	947	717
569	949	716
570	950	714
571	952	712
572	954	711
573	955	709
574	957	707
575	959	706
576	961	704
577	962	703
578	964	701
579	966	699
580	968	698
581	970	696
582	972	695
583	974	693
584	976	692
585	977	690
586	979	689
587	981	687
588	982	685
589	984	684
590	986	682
591	987	680
592	989	679
593	991	677
594	992	675
595	994	674
596	996	672
597	998	671
598	1000	669
599	1001	667
600	1003	666
601	1004	664
602	1006	662
603	1008	660
604	1009	659
605	1011	657
606	1013	655
607	1014	654
608	1016	652
609	1018	651
610	1020	649
611	1021	647
612	1023	646
613	1025	644
614	1026	642
615	1028	641
616	1030	639
617	1032	637
618	1033	636
